fdn-teaser-headline,fdn-teaser-subheadline,fdn-event-teaser-location-link,fdn-inline-split-list,uk-text-muted,fdn-event-teaser-price,fdn-teaser-tag-link,fdn-teaser-description
Ark of Learning,,,,,,Volunteers,"Tutoring students in grades K-9. New Kensington Salvation Army.
          
        
          
            724-335-7221"
"Red Cross CPR, First Aid Training",,Red Cross Headquarters,"225 Boulevard of the Allies, Pittsburgh",Downtown,,Other Stuff,"Classes on various Tuesdays, Thursdays, Saturdays. Call for details.
          
        
          
            888-217-9599"
Youth Outreach Union,,,,,,Volunteers,"Young-adult survivors of mental illness needed to support their peers. (Ages 14-27.)
          
        
          
            412-391-1430"
Pittsburgh Quarterly,Ongoing,Pittsburgh Quartley,"1140 Fox Chapel Rd, Pittsburgh",Fox Chapel,,Submissions,"Looking for new work by local poets. Please check out Robert's poem ""Home Movies"" at http://pittsburghquarterly.com/between-the-issues-items/item/1082-home-movies.html."
Pet Adoption League,Ongoing,,,,,Volunteers,"Westmoreland  County no-kill shelter with many puppy mill rescues seeking foster homes and volunteers for all aspects of shelter operation: dog walking, cat cuddling, fund raising, etc. Yukon, PA.
          
        
          
            724-953-9050"
The Neighborhood Academy,,,,,,Volunteers,"Educational program for low-income students. Garfield.
          
        
          
            412-362-2001"
Treasure House Fashions,Ongoing,Treasure House Fashions,"7607 McKnight Road, Pittsburgh",Ross,,Volunteers,"Treasure House Fashions is a non profit boutique- style woman’s clothing shop that works w/ area nonprofits helping women in transition or crisis.    We need volunteers to help us in our McKnight Road store.  Tasks would include helping clients w/ clothing selections as needed, working the cash register, steaming & stocking clothing, keeping the clothing racks neat & the store in order. 412-979-1534 for more info.
          
        
          
            412-979-1534"
Pittsburgh Zoo & PPG Aquarium,Ongoing,Pittsburgh Zoo & PPG Aquarium,"7370 Baker St., Pittsburgh",Highland Park,,Exhibits,"Home to 4,000 animals, including many endangered species.
          
        
          
            412-665-3639"
Planned Parenthood of Western Pennsylvania,,,,,,Volunteers,"For a wide variety of projects.
          
        
          
            412-434-8967 x119"
Citiparks Recreation Centers,,,,,,Kidstuff,"Nine year-round centers in city, with programs in sports, fitness and arts. Plus individual programs and features.
          
        
          
            412-422-6543"
North Hills Community Outreach,,,,,,Volunteers,"Teach computer literacy classes, coordinate food drives, take seniors to doctor appointments, more.
          
        
          
            412-487-6316"
Gateway Health Hospice,,,,,,Volunteers,"Work with patients & their families. Training provided.
          
        
          
            412-536-2020"
Independent Film Night,Ongoing,DV8 Espresso Bar & Gallery,"208 S. Pennsylvania Ave., Greensburg",Greensburg,,Submissions,"Submit your film, 10 minutes or less. Screenings held on the second Thursday of every month.
          
        
          
            724-219-0804"
POWER,,,,,,Volunteers,"Help women recovering from alcohol and other drug addictions. Swissvale.
          
        
          
            412-271-0500 x125"
Washington County Literacy Council,,,,,,Volunteers,"Tutor training sessions offered.
          
        
          
            724-228-6188"
Nationality Rooms,Ongoing,Nationality Rooms,"4200 5th Avenue, Pittsburgh",Oakland,,Exhibits,"29 rooms helping to tell the story of Pittsburgh's immigrant past. University of Pittsburgh.
          
        
          
            412-624-6000"
Senator John Heinz History Center,Ongoing,Senator John Heinz History Center,"1212 Smallman Street, Pittsburgh",Strip District,,Volunteers,"Become a volunteer, tour guide, or concierge. Contact Sandra Baker.
          
        
          
            412-454-6412"
South Hills Interfaith Ministries,,,,,,Volunteers,"Tutors needed for after-school homework club. And preschool assistants.
          
        
          
            412-854-9120"
Boulevard Gallery &  Different Strokes Gallery,Ongoing,,,,,Submissions,"Searching for glass artists, fiber artists, potters, etc. to compliment the exhibits for 2015 & 2016. Booking for both galleries for 2017. Exhibits run from 1 to 2 months.
          
        
          
            412-721-0943"
Goodwill Industries Donations,,,,,,Fundraisers,"Special call for children's clothing, housewares, appliances, dishes and more. At all locations.
          
        
          
            412-481-9005"
Pittsburgh History & Landmarks Foundation,,,,,,Volunteers,"Training docents for children and adult tours.
          
        
          
            412-471-5808 x527"
The Poet Band Company,Ongoing,,,,,Submissions,Seeking various types of poetry. Contact wewuvpoetry@hotmail.com
Three Rivers Lacrosse,,,,,,Outside,"Open to boys and girls, kindergarten and up, plus men's senior and post collegiate.
          
        
          
            412-571-2501"
Goodwill Literacy Initiative,,,,,,Volunteers,"Seeking tutors for math, writing & English as a Second Language. Free tutor training available.
          
        
          
            412-390-2308"
Big Brothers/Big Sisters of Greater Pittsburgh,,,,,,Volunteers,"Adults to mentor young people from single-parent and at-risk homes.
          
        
          
            412-363-6100"
GLENDA,Ongoing,,,,,Volunteers,"Seeking volunteers to promote diversity in the Pittsburgh region through community service.
          
        
          
            412-422-1303"
YWCA Teen Services Department,,,,,,Volunteers,"Share craft, talent or profession with teens.
          
        
          
            412-365-1933"
Interfaith Volunteer Caregivers,Ongoing,,,,,Volunteers,"Seeking compassionate volunteers to assist older adults by providing rides to doctor appointments, help with grocery shopping, friendly visiting, and more!
          
        
          
            412-345-7420"
The Thomas Merton Center,,,,,,Volunteers,"Weekly packaging of books for prisoners. Plus monthly paper The New People needs staff for bulk mailing, research, distribution, more. Garfield.
          
        
          
            412-361-3022"
Girl Scouts of America,Ongoing,,,,,Volunteers,"Seeking adult volunteers to assitst Girl Scout troops in all neighbors of Pittsburgh.
          
        
          
            412-689-6337"
Rachel Carson Homestead,,,,,,Volunteers,"Children's environmental-education programs, office duties, museum retail store, special events, gardening & outdoor projects. Springdale.
          
        
          
            724-274-5459"
The New Yinzer,Ongoing,,,,,Submissions,"Seeking original essays about literature, music, TV or film, & also essays generally about Pittsburgh. To see some examples, visit www.newyinzer.com & view the current issue. Email all pitches, submissions & inquiries to newyinzer@gmail.com."
Pittsburgh League of Young Voters,,,,,,Volunteers,"Help with outreach at concerts, clubs and fairs.
          
        
          
            412-728-2197"
Pittsburgh Action Against Rape,,,,,,Volunteers,"Daytime medical advocates, hotline work, special events and/or speakers bureau. South Side.
          
        
          
            412-431-5665"
Pittsburgh Parks Conservancy,,,,,,Outside,"Docent-led tour of various parks. Historical, conditioning and nature hikes.
          
        
          
            412-682-7275"
Gay & Lesbian Community Center,,,,,,Volunteers,"Staffers in all areas to help this service organization & staffers for the phone line. Squirrel Hill.
          
        
          
            412-422-0114"
Rebuilding Together Pittsburgh,Ongoing,,,,,Volunteers,"Help low income seniors who are in need of home repairs to be safe warm & happy in their own homes.
          
        
          
            412-922-0953"
Womansplace,,,,,,Volunteers,"Become advocates to end social violence against women.
          
        
          
            412-678-4620 x205"
Assemble,Ongoing,Assemble,"5125 Penn Ave, Pittsburgh",Garfield,,Volunteers,"Seeking volunteers for after school & Saturday programs. Come make with kids w/ science, technology & art.
          
        
          
            412-254-4230"
United Steelworkers’ Activist Corps,Ongoing,,,,,Volunteers,"Looking for Political Activist Volunteers for member mobilization, communication, and strategic political actions. Free t-shirts, food. Downtown.
          
        
          
            412-562-2475"
Sweetwater Art Center,,,,,,Volunteers,"To help with event preparations. Sewickley.
          
        
          
            412-741-4405"
Fort Pitt Museum,Ongoing,Fort Pitt Museum,"101 Commonwealth Pl., Point State Park, Pittsburgh",Downtown,,Exhibits,"Reconstructed fort houses museum of Pittsburgh history circa French & Indian War & American Revolution.
          
        
          
            412-281-9285"
National Aviary,Ongoing,National Aviary,"Allegheny Commons West, Pittsburgh",North Side,,Exhibits,"Home to more than 600 birds from over 200 species. W/ classes, lectures, demos & more.
          
        
          
            412-323-7235"
Pittsburgh International Children's Theater,,,,,,Volunteers,"Volunteers needed for Oct-March city-wide Family Series shows as well as May Children's Festival.
          
        
          
            412-321-5520"
The Pittsburgh Tote Bag Project,Ongoing,,,,,Volunteers,"Seeking volunteers to staff tables at events throughout the spring & summer. Orientation held at the Squirrel Hill & Northside Crazy Mocha twice a month. http://tote4pgh.com/
          
        
          
            412-228-0216"
Steel on Ice,,,,,,Outside,"African-American ski club with year-round activities.
          
        
          
            412-339-0585"
Humane Society,,,,,,Volunteers,"Seeking dog-walkers and -trainers, cat-cuddlers, foster homes, event tables, more. North Side.
          
        
          
            412-321-4625 x246"
East End Cooperative Ministry,,,,,,Volunteers,"Children's tutors & mentors needed. Weekday volunteers for soup kitchen, food pantry, Meals on Wheels program.
          
        
          
            412-361-5549 x415"
YoungLives,Ongoing,,,,,Volunteers,"Volunteer opportunities to serve teenage mothers and their children. Mentors, childcare volunteers, etc. younglivespittsburgh.younglife.org
          
        
          
            412-452-2344"
St. Anthony's Chapel,Ongoing,St. Anthony's Chapel,"1700 Harpster Street, Pittsburgh",North Side,,Exhibits,"Features 5,000 relics of Catholic saints.
          
        
          
            412-323-9504"
Dress For Success Pittsburgh,Ongoing,,,,,Volunteers,"Organization prepares economically disadvantaged women succeed in the workforce. Looking for image consultants, administrative workers, donation pick-up coordinators & more. Also accepting donations.
          
        
          
            412-201-4204"
UPMC Shadyside,,,,,,Volunteers,"To help visit hospitalized older patients. Training provided.
          
        
          
            412-623-1793"
READ! 365,,,,,,Volunteers,"Program to read to children. Various venues and times.
          
        
          
            412-365-2034"
Eclectic Art & Objects Gallery,Ongoing,Eclectic Art & Objects Gallery,"8275 Ohio River Blvd, Pittsburgh",Emsworth,,Visual Art,"19th century American & European paintings combined w/ contemporary artists & their artwork.
          
        
          
            412-734-2099"
Sierra Club,,,,,,Volunteers,"To educate voters on environmental issues.
          
        
          
            412-802-6161"
Pittsburgh AIDS Task Force,,,,,,Volunteers,"For special events, mailings, community education, client services and more. East Liberty.
          
        
          
            412-345-7456"
Happy Hour,"Mondays-Fridays, 4-6 p.m. and Saturdays, Sundays, 12-2 p.m.",Rick's Cabaret & Sports Bar,"135 9th St, Pittsburgh",Uptown,,Food & Drink Event,"Join us at Ricks for Discounted food and drinks.
          
        
          
            412-281-7703"
Bingo Bango at SPIRIT,"Sundays, 5-7 p.m.",Spirit Lodge,"242 51st Street, Pittsburgh",Lawrenceville,FREE,Games,"Every Sunday since Spirit opened in 2015, the downstairs level at 242 51st Street in Lawrenceville hosts our own take on Bingo called BINGO BANGO. No gambling is involved, but prizes doled out liberally include free pizzas, tickets to Spirit concerts and events, sponsors’ drinks and swag, and more.

The game is free to play and participants must be 21 or older. Bingo hosts range from local celebrities to DJs and musicians to members of Spirit’s staff, and occasionally extended cabarets and variety show are built around the night.

in the Lodge
5-7pm
FREE to play
21+
          
        
          
            4125864441"
Wallace Whiskey Room and Kitchen Saturday Jazz Jam w/ Tony Campbell,"Sundays, 5-8 p.m.",Wallace's Tap Room,"123 N Highland Ave, Pittsburgh",East Liberty,$ 5.00,Jazz,"Tony Campbell - Sax
          
        
          
            412.665.0555"
Recruiting singers for Coro Latinoamericano,"Sundays, 5:15-5:30 p.m.",First Unitarian Church,"605 Morewood Avenue, Pittsburgh",Shadyside,$25/month dues,Auditions,"The Coro Latinoamericano – Pittsburgh, founded in 1997, is a secular community choir with a professional director.  We are dedicated to building bridges to other peoples and cultures in Pittsburgh and beyond through choral music from the countries of Central and South America, the Caribbean, and the Iberian Peninsula. As a 501(c)(3) non-profit organization, Coro Latinoamericano – Pittsburgh is committed to educational outreach and the cultural enrichment of the Pittsburgh and Southwestern Pennsylvania region, and beyond. 

Knowledge of Spanish and/or music sight-reading are not required, but a plus.

We've recently collaborated with the Mendelssohn Choir and the Heritage Gospel Chorale.
          
        
          
            412-345-1047"
"Ballet, Jazz & Belly Dance for Kids","Mondays, Sundays, 6-7 p.m.",Art in Motion Pittsburgh,"1001 Main St., Floor 2, Sharpsburg",Sharpsburg,"$15 drop in, packages for multiple classes available",Dance,"Students will learn the basics of belly dance by exploring music, movement, and rhythms with fun props like finger cymbals, veils, wings, and canes. This age appropriate class features technique, choreography, and games
          
        
          
            412-447-1827"
Soul'd Out Supper,"Sundays, 6:30 p.m.",Elrama Tavern,"1520 Pennsylvania 837, Elrama",Clairton,FREE,Food & Drink Event,"Soul’d Out Supper is ""dinner church"" held every Sunday night at 6:30 in the upper room at the Elrama Tavern on State Route 837 in Elrama, PA. All are welcome!

The early church began around the dinner table. We have discovered that this form of worship appeals to some who would like a more casual form of worship, where they can participate in discussion, ask questions and enjoy fellowship in a non-threatening environment. Dinner is delicious and free, but an offering is accepted to continue and support this excellent ministry outside the walls of a church building.
          
        
          
            412-384-3630"
Billy the Kid's Steel Town All-Stars,"Sundays, 7-10 p.m.",The R Bar,"2883 West Liberty Avenue, Dormont",Dormont,,Rock,412-942-0882
The Pittsburgh Witches Ball,"Ongoing, 7 p.m.-1 a.m.",Coraopolis VFW Post 402,"402 Mulberry St., Pittsburgh",Coraopolis,50 in advance. 65 at the door with card. 60 cash,Special,"Come join us for live Pagan music featuring Bryan Henke, Linda Mallard, Ginger Doss, and our headliner SJ Tucker! We will also have Belly dancing from the incredible Valkries! Food and coffee and tea bar included in the price! Costume contest. 50/50 and lovely basket raffles. We are planning on a Spiral Dance. We have an ancestor altar and you are free to bring your photos or keepsakes. Opening and closing rituals. All are welcome!
          
        
          
            4126570030"
Christian Science Church Service,"Wednesdays, 7:30-8:30 p.m. and Sundays, 11-12 a.m.","First Church of Christ, Scientist","201 North Dithridge at Bayard Street, Oakland, Pittsburgh",Oakland,free,Community,"An hour of quiet time for inspiration. Bible Lesson-Sermon and Hymns. Sunday School 11a for children. In church or email for Zoom invitation. Parking
          
        
          
            412 621-5339"
Henry Evans in THE ENCHANTED CARDS OF BUENOS AIRES,"Wednesdays-Sundays, 7:30-8:40 p.m.",Liberty Magic,"811 Liberty Ave, Pittsburgh",Downtown,45,Other Stuff,"No one is faster or more skilled with a deck of cards than Henry Evans. Nicknamed ‘Argentina's merry magician’. Henry has become famous around the globe for his original and self-choreographed card routines. Recognized for excellence in over 40 countries, he holds more international championship wins than any other living performer. Never before seen on U.S. soil, The Enchanted Cards of Buenos Aires brings one of Henry’s most popular performances to Pittsburgh as an American premiere. Every audience member in the theater has a perfect seat to witness over 52 mini-miracles each and every night!
          
        
          
            412-456-6666"
Confidential musical theatre project,"Ongoing, 7:30-10 p.m.",Neu Kirche Contemporary Art Center,"1000 Madison Avenue, at I-279 N, Pittsburgh",North Side,$25,Theater,"Show is cast with best performers.Sent their scripts. Not to reveal the show or their role. With no rehearsals, the cast and crew meet for first time one hour before show.  The challenge: create an ensemble on their feet in front of an audience.
          
        
          
            412-322-2224"
Burning Bridges Comedy Club,"Saturdays, Sundays, 9-10:30 p.m.",,"4207 butler st, pgh",Lawrenceville,5-15,Comedy,"The Burning Bridges Comedy Club is Pittsburgh first and only independent stand up comedy club. Located in Lawrencville, inside Hambone's Pub. Shows every weekend. Saturday 8&10:30PM, Sunday 9PM.
          
        
          
            412-610-2052"
Billy The Kid’s Steel Town All-Stars Sunday Service Jam Session,"Sundays, 8-11 p.m.",R Bar,"2883 West Liberty Ave, Dormont",Dormont,,Open Stage,"Billy The Kid’s Steel Town All-Stars Sunday Service Jam Session. Rotating guest musician each week. All musicians and singers of all genres and skill levels welcome.
          
        
          
            4129420882"
Sunday Nights Karaoke,"Sundays, 9 p.m.-2:30 a.m.",Sonny's Tavern,"630 S. Millvale Ave., Pittsburgh",Bloomfield,Free,Other Music,"Karaoke - W/ DJ Rachel - Every Sunday Night
          
        
          
            412-683-5844"
Sunday Night Karaoke,"Sundays, 10 p.m.-2 a.m.",Sonny's Tavern,"630 S. Millvale Ave., Pittsburgh",Bloomfield,Free,Other Music,"Karaoke with Mike from Top Of The Line Entertainment!
          
        
          
            412-683-5844"
Service with music and choir followed by fellowship and refreshments,"Sundays, 10:30 p.m.",Trinity Cathedral,"328 Sixth St., Pittsburgh",Downtown,,Classical,"Sundays @ 10:30 a.m.

Rite I (through Lent) Holy Eucharist Service with music and choir followed by fellowship and refreshments.
          
        
          
            412-232-6404"
New Choices Career Development Classes,"Mondays-Fridays, 9:30 a.m.-12:30 p.m.",Pennsylvania Women Work,"650 Smithfield Street, Suite 520, Pittsburgh",Downtown,FREE,Other Stuff,"New Choices is a FREE, comprehensive career program, where you'll learn job search and interview skills, goal-setting, and the confidence to succeed. You’ll update your resume, refresh your computer skills, and learn conflict resolution, budgeting, and time management – plus individualized career coaching and job search assistance. Day/evening classes available starting soon Downtown, or at extended sites throughout Pittsburgh. Whether you're starting out or re-entering the workforce, our 20 years of expertise will make you a stronger candidate. New Choices has helped over 55,000 people find living-wage jobs and build lasting careers! Call to register or for more information!
          
        
          
            412-742-4362"
Maker Story Time,"Mondays, 11 a.m.-12 p.m.",Children's Museum of Pittsburgh,"10 Children's Way, Pittsburgh",North Side,,Kidstuff,"Explore tools, materials & processes inspired by books. Listen to stories read by librarian-turned-Teaching Artist Molly.
          
        
          
            412-322-5058"
Trivia Night!,Every other Monday,Hop Farm Brewing,"5601 Butler St., Pittsburgh",Lawrenceville,Free,Trivia,"Teams of up to 6 people compete in fun, unique, and challenging trivia for a Hop Farm gift certificate. Written and run by Jeopardy! champion and The Chase winner, Liz Quesnelle, it's the best trivia night in town!
          
        
          
            https://www.google.com/search?q=hop+farm&oq=hop+farm&aqs=edge..69i57j69i59j0i20i263i512j0i512l5j69i60.2240j0j1&sourceid=chrome&ie=UTF-8#"
Collectors,Mondays-Fridays,Bost Building,"621-623 E. Eighth Ave., Homestead",Homestead,,Exhibits,"Preserved materials reflecting the industrial heritage of Southwestern PA.
          
        
          
            412-464-4020"
Artdfact Gallery,"Mondays, Fridays",Artdfact,"1800 Preble Ave., Pittsburgh",North Side,,Visual Art,"The works of Timothy Kelley & other regional & US artists on display. Sculpture, oil & acrylic paintings, mixed media, found objects, more.
          
        
          
            724-797-3302"
Soldiers & Sailors Memorial Hall,Mondays-Saturdays,Soldiers & Sailors Memorial Hall,"4141 Fifth Ave., Pittsburgh",Oakland,,Exhibits,"Military museum dedicated to honoring military service members since the Civil War through artifacts & personal mementos.
          
        
          
            412-621-4253"
Assemble Girls Maker Night Virtual Afterschool Program,"Mondays, 4-5:30 p.m.",,,,Free,Kidstuff,"Virtual Assemble is a STEAM (Science, Technology, Engineering, Art, & Math) centered digital hangout and material kit. Join Assemble teachers after school from 4:00pm-5:30pm in this weekly after school program. Each week students explore the dynamic world of STEAM through hands-on activities and dreaming up creative inventions together. Virtual Assemble after school sessions also include special visits from local artists, makers, and technologists who share their passion and talents with the group.
          
        
          
            412-661-6111"
Rainbow Writers Weekly Workshop,"Mondays, 6-7 p.m.",White Whale Bookstore,"4754 Liberty Ave., Pittsburgh",Bloomfield,FREE,Literary,"Are you interested in writing? Do you like poetry, fiction, nonfiction, songwriting, playwriting, screenwriting, blogging, journalism, storytelling, or other types of creative writing? Are you a teen writer between the ages of 12 and 18 that identifies as LGBTQ+?

Rainbow Writers is always accepting applications. Our weekly workshop is free so drop in anytime. Bring something you’ve written and share or write with us during our hour long sessions. Our workshop facilitators understand exploration, curiosity, and anonymity, and we will work hard to maintain a workshop that is comfortable for you.
          
        
          
            412-353-9748"
Call for Musicians!,"Mondays, 6-7:30 p.m.",Historic Munhall Library Estates,"510 E 10th Ave., Munhall",Homestead,Free to join!,Other Stuff,"Munhall Community Band is in search of musicians.  Currently recruiting woodwinds, brass and percussion.  We have members of all ages and abilities, all you need is an instrument, a stand, passion for music, and a desire to play with a fun and diverse group!  We have three concerts currently scheduled for spring - fall.  Rehearsal is Monday evening from 6:00-7:30 at the Homestead Library.  email ctreager@gmail.com for more info.  Find us on Facebook!  Search Groups for Munhall Community Band.
          
        
          
            412-205-3850"
Story Syndicate Slam,"Mondays, 6:30 p.m.",Cannon Coffee,"802 Brookline Blvd., Pittsburgh",Brookline,,Literary,"Tellers put their name in a hat & if called, get 5 minutes to tell their true life story.
          
        
          
            917-442-0292"
Liz Q Trivia at Hop Farm Brewing,"Every other Monday, 7-9 p.m.",Hop Farm Brewing,"5601 Butler St., Pittsburgh",Lawrenceville,,Trivia,"Liz Q knows a thing or two about trivia: she’s a Jeopardy! champion, a money winner on Who Wants to be a Millionaire?, and defeated James Holzhauer on The Chase. Quizzing is Liz’s favorite past-time and she wants it to be yours, too – which is why she’s bringing fun, yet challenging and original trivia to Hop Farm Brewing. Enjoy Pittsburgh’s best trivia night while also enjoying a wide selection of delicious craft beers and food. The first and second place teams win a Hop Farm gift card. Teams over six players can play, but are ineligible to win prizes.
          
        
          
            412-726-7912"
Monday Trivia at Spirit,"Mondays, 7-9 p.m.",Spirit Lodge,"242 51st Street, Pittsburgh",Lawrenceville,FREE,Trivia,"Free to play - Win tickets to events & other prizes - 7-9pm every Monday at Spirit Lodge - 21+
          
        
          
            4125864441"
AcoustiCafe Open Stage,"Mondays, 7-10:30 p.m.",Mr. Smalls Theatre,"400 Lincoln Avenue, Millvale",Millvale,,Open Stage,"Rotating hosts.
          
        
          
            412-323-1919"
Emotions Anonymous Twelve Step Meeting,"Mondays, 7-8 p.m.",Grandview United Presbyterian Church,"301 Grandview Ave, Pittsburgh",Mt. Washington,free,Other Stuff,"Emotions Anonymous is a support program designed to help folks with emotional difficulties in their efforts to live more manageable lives. 
Based on the 12 steps of Alcoholics Anonymous but open to all, we use the same guidelines and fellowship to support each other as we deal with stress and out of control emotions. This is not a replacement for regular therapy but a helpful addition led by volunteers who have found the program helpful.
          
        
          
            4124187381"
Scottish Country Dancing,"Mondays, 7 p.m. and Saturdays, 7 p.m.",Grace Episcopal Church,"319 W Sycamore St., Pittsburgh",Mt. Washington,,Other Stuff,"Lessons 7-8 p.m., social dancing follows.  No partner needed.
          
        
          
            412-683-5670"
Free Write Open Studio - Write Pittsburgh,"Mondays, 7:30-9 p.m.",,,,Free,Literary,"Writing can be a lonely endeavor. That's why a writing community is so important. Join us for our low-key online open studio hours every Monday night from 7:30 to 9:00 p.m. ET. Drop in for as long as you like. We’ll check in every half hour or so to let you brag about your accomplishments (or cry on a sympathetic shoulder if that’s what you need). 

Register at bit.ly/WPghStudio for the Zoom link.

This program is for adult writers, ages 18+."
German Conversation Group,"Mondays, 7:30 p.m.",Mount Lebanon Public Library,"16 Castle Shannon Boulevard, Mt. Lebanon",Mt. Lebanon,,Other Stuff,412-531-1912
"Pittsburgh Sound Preserve ""Open Improv Lab""","Every other Monday, 8-11 p.m.",,,,free,Open Stage,"We want to create a space for people from different backgrounds, with all different levels and types of musical training, to improvise together. This means we will navigate collective sound making while doing our best to let go of musical underlying assumptions and remain open to process. We can ask the questions: What does the sound want to be? What feels interesting to us? How can we have a positive conversation across traditions / cultures / backgrounds / levels of training?
          
        
          
            4124048359"
Beginner Bachata Lessons,"Mondays, 8:15-9:15 p.m.",Studio 101,"5877 Commerce Street, Pittsburgh",East Liberty,$10,Dance,"Grab your friends and join us at East Liberty's newest dance studio! Learn Bachata from Pittsburgh's JP Hernandez! No Partner Necessary, No previous dance experience required!
          
        
          
            412-740-7469"
You should've been here last week open mic,"Mondays, 9-11:30 p.m.",,"4207 butler st, pgh",Lawrenceville,Free,Comedy,"Comedy open mic. Sign ups at 8:30. Show starts at 9:00. Order of comics subject to change.
          
        
          
            412-848-6730"
You Should've Been Here Last Week Showcase & Open Mic,"Mondays, 9-11:45 p.m.",,"4207 butler st, pgh",Lawrenceville,,Comedy,"You Should've Been Here Last Week is a hybrid showcase and open mic where PGH's funniest, most experienced comics will mix it up with our newest hilarious hopefuls.
          
        
          
            412-610-2052"
Comedy Sauce Showcase,"Mondays, 9 p.m.",Pleasure Bar,"4729 Liberty Ave., Pittsburgh",Bloomfield,,Comedy,"Local & out-of-town comedians.
          
        
          
            412-682-9603"
Karaoke Monday with DJ Paris Not France,"Mondays, 10-11:30 p.m.",Poetry Lounge,"313 North Ave., Pittsburgh",Millvale,FREE,Other Stuff,"Weekly Karaoke every Monday!
          
        
          
            4123374403"
Walk-in Vaccine Hours,"Tuesdays-Fridays, 8-10 a.m.",Western Pennsylvania Humane Society,"1101 Western Ave., Pittsburgh",North Side,,Other Stuff,412- 321-4625
Tai Chi at Thrive on Health,"Saturdays, 10-11:15 a.m. and Tuesdays, 7-8:15 p.m.",Thrive on Health,"730 Brookline Boulevard, PIttsburgh",Brookline,$15,Sports,"Thrive on Health presents Tai Chi with nationally ranked practitioner, Christopher Johns. Come and practice time-tested skills and philosophies for internal and external harmony and self-defense. Learn how to approach challenges calmly, rationally, and with total self-assurance, and and find out why these are the keys to true strength and health.
          
        
          
            (412) 714-6620"
Lunch Break Yoga,"Tuesdays, Thursdays, 12-12:50 p.m.",Crossbody Dance and Movement,"422 Wood Street, PITTSBURGH",Downtown,$12,Exercise,"Join us for Lunch Break Yoga at Crossbody Dance and Movement.  

Drop in rate is $12
          
        
          
            4122590336"
Guided Meditation,Tuesdays,Thrive on Health,"730 Brookline Boulevard, PIttsburgh",Brookline,$5 suggested donation,Community,"Meditation is such a helpful practice for your overall health, but it can be slightly daunting to find the right modality that works for you. Join us for a weekly hour of mindfulness in a group setting.

Chey of Smoky Quartz Magick & Divination will lead the meditations, which will vary weekly depending on the needs of the group as well as the challenges of the time frame according to the astrological forecast. 

They will assist by walking you through different styles, breathing techniques, mudras, and other methods to be able to craft a meditation routine that works for you.
          
        
          
            412-714-6620"
A Soto Zen Buddhist Sitting Group,"Tuesdays, Thursdays",Church of the Redeemer,"5700 Forbes Ave., Pittsburgh",Squirrel Hill,,Other Stuff,"http://citydharma.wordpress.com/schedule/
          
        
          
            412-965-9903"
Weekly  Chef Demonstrations and Live Music,"Tuesdays, 5:30-6:30 p.m.",Renaissance Pittsburgh Hotel,"107 Sixth Avenue, Pittsburgh",Downtown,,Other Stuff,"The hotel is featuring a cooking demonstration series  called “Discover Chef Saxon”.  Chef Nick Saxon, executive chef of the Pittsburgh Renaissance Hotel and Braddock’s Pittsburgh Brasserie which is located inside the historic hotel, will prepare a meal and beverage each week. His weekly demonstrations will showcase a different item featured on the restaurant’s menu, as well as a cocktail that can be ordered at the hotel’s bar. Since the bar has one of the most extensive bourbon collections in Pittsburgh, guests can be sure that cocktails featuring a variety of bourbon will be part of the weekly lineup.
          
        
          
            412.562.1200"
Acoustic Tuesdays,"Tuesdays, 6-9 p.m.",Bigham Tavern,"321 Bigham St., Pittsburgh",Mt. Washington,Free,Acoustic,"Join us Tuesdays for live acoustic music featuring local Pittsburgh musicians including Zig Daniels from The Delaneys and Bucky! Please call ahead for reservations and daily specials. #gobighamorgohome
          
        
          
            412-431-9313"
Printmaking Open Studio,"Tuesdays, Thursdays, 6-10 p.m.",Artists Image Resource,"518 Foreland Street, Pittsburgh",North Side,,Other Stuff,"Experienced screen printers can utilize studio equipment to make films, burn screens & complete a run of posters, t-shirts or prints. A volunteer-driven environment designed for short-run projects that can be completed in one evening for a small materials fee.
          
        
          
            412-321-8664"
Aspinwall Toastmasters,"Tuesdays, 6:30-8 p.m.",UPMC Lighthouse Pointe,"500 Chapel Harbor Dr., Pittsburgh",Aspinwall,,Literary,"Communication, leadership & public speaking.
          
        
          
            412-760-0690"
Sallie Boggs Toastmasters Club,"Tuesdays, 6:30-8 p.m.",C.C. Mellor Memorial Library,"One Pennwood Ave., Edgewood",Edgewood,,Other Stuff,"Helping people from all walks of life to improve their communication & leadership skills. For any questions email Sallieboggstm@gmail.com or call 412-365-5803.
          
        
          
            412-731-0909"
Edgewood Toastmasters,"Tuesdays, 6:30-8 p.m.",C.C. Mellor Memorial Library,"One Pennwood Ave., Edgewood",Edgewood,,Literary,"Communication, leadership & public speaking.
          
        
          
            412-512-9564"
Tuesday Open Mic Night w/ Pittsburgh Poetry Collective,"Tuesdays, 7-10 p.m.",Poetry Lounge,"313 North Ave., Pittsburgh",Millvale,FREE,Literary,"Open Mic Night with poets, musicians, comedians, artists, dancers, performers, magicians, philosophers, clowns... and more
          
        
          
            4123374403"
